56111	0
56345	1
56556	0
56752	0
57328	4
57680	0
57701	5
57726	3
57750	3
57765	5.5
57797	3
57823	0
57839	4
57840	6
57842	2
57850	2
57874	2
57886	2
57908	9.5
57935	1
57941	2
57974	5
57979	6
57983	5
57995	4
58007	5
58009	1
58018	6
58028	9
58034	2
58043	2
58047	1
58057	4
58068	4
58075	5
58077	4
58085	4
58090	4
58091	2
58100	0
58108	4
58111	4
58113	2
58123	5
58173	1
58192	2
58196	0
58198	2
58200	0
58221	7
58224	5.5
58226	2
58230	5
58234	2
58272	0
58273	3
58274	3
58277	2
58279	2
58300	1
58303	2
58311	1
58314	2
58319	4
58320	4
58324	2
58325	2
58329	5
58333	4
58338	1
58344	3
58349	6.5
58368	0
58374	2
58375	0
58376	2
58380	7.5
58388	1
58394	1
58398	1
58405	2
58409	0
58415	1
58416	2
58420	1
58439	4
58440	5
58445	6
58448	1
58463	6.5
58469	5
58473	3
58487	3
58490	7
58491	5
58499	3
58510	2
58516	4
58523	2
58525	3
58534	1
58539	2
58541	3
58547	3
58549	1
58557	4
58560	6.5
58565	0
58567	1
58573	2
58576	7
58577	9
58582	1
58583	3
58592	3
58595	0
58598	2
58599	5.5
58603	3
58604	2
58605	2
58613	5
58615	2
58621	5
58622	2
58629	1
58632	2
58643	4
58647	6.5
58649	4
58650	3
58654	3
58659	6
58660	1
58661	5.5
58664	1
58669	4
58684	5.5
58689	2
58690	4
58701	3
58703	1
58705	2
58708	4
58716	0
58719	3
58720	0
58723	7
58729	6.5
58731	2
58732	8
58738	0
58741	6.5
58743	2
58749	10
58756	0
58759	1
58760	4
58763	1
58767	2
58770	0
58773	6
58778	2
58783	0
58791	6.5
58793	3
58796	2
58801	0
58802	1
58803	4
58805	0
58806	3
58807	2
58808	0
58809	0
58812	2
58815	0
58816	4
58817	1
58818	2
58819	0
58820	0
58823	0
58824	1
58825	3
58827	0
58828	3
58834	2
58841	6
58842	8
58843	0
58844	2
58845	1
58846	3
58847	5.5
58848	5
58850	2
58853	1
58854	0
58856	2
58858	7.5
58859	3
58862	3
58863	0
58865	0
58866	2
58868	3
58875	4
58877	2
58882	2
58885	4
58890	2
58894	0
58896	5
58899	4
58900	4
58901	3
58902	3
58905	2
58906	4
58909	1
58911	1
58913	2
58914	1
58915	1
58916	3
58917	2
58918	0
58919	0
58921	2
58926	1
58929	1
58934	0
58935	2
58937	3
58939	0
58941	0
58943	2
58944	0
58945	2
58946	1
58951	2
58952	4
58953	2
58959	3
58960	6.5
58961	1
58964	1
58967	0
58968	0
58970	5
58974	0
58975	2
58979	1
58980	9.5
58982	4
58983	2
58986	1
58987	2
58990	2
58991	0
58996	0
58997	0
58999	1
59457	0
